Game_Number,Date,Location,Opponent,W_L,Coug_Score,Opp_Score,Coug_FG,Coug_FGA,Coug_FG_per,Coug_3P,Coug_3PA,Coug_3P_per,Coug_FT,Coug_FTA,Coug_FT_per,Coug_ORB,Coug_TRB,Coug_AST,Coug_STL,Coug_BLK,Coug_TOV,Coug_PF,Opp_FG,Opp_FGA,Opp_FG_per,Opp_3P,Opp_3PA,Opp_3P_per,Opp_FT,Opp_FTA,Opp_FT_per,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,11/6/2023,,Idaho,W,84,59,31,57,0.544,7,18,0.389,15,29,0.517,13,43,14,6,8,9,24,18,52,0.346,5,25,0.2,18,25,0.72,5,23,8,6,4,11,23
2,11/10/2023,,Prairie View,W,83,65,30,56,0.536,4,15,0.267,19,28,0.679,11,42,15,8,9,15,21,23,65,0.354,4,13,0.308,15,21,0.714,8,23,8,6,1,10,21
3,11/18/2023,N,Mississippi State,L,64,76,24,59,0.407,7,23,0.304,9,12,0.75,7,30,14,4,4,12,19,25,57,0.439,5,19,0.263,21,25,0.84,5,33,7,10,2,8,13
4,11/19/2023,N,Rhode Island,W,78,57,33,64,0.516,3,17,0.176,9,16,0.563,11,33,13,9,8,5,16,22,53,0.415,3,17,0.176,10,12,0.833,4,23,9,1,2,11,18
5,11/24/2023,,Utah Tech,W,93,53,32,57,0.561,15,23,0.652,14,22,0.636,9,40,18,10,8,11,15,17,57,0.298,7,20,0.35,12,17,0.706,9,27,7,5,4,16,20
6,11/27/2023,,Eastern Washington,W,82,72,29,64,0.453,8,26,0.308,16,22,0.727,14,34,10,3,0,7,21,22,45,0.489,10,24,0.417,18,23,0.783,5,25,13,3,1,16,21
7,12/2/2023,,Portland State,W,71,61,28,55,0.509,2,11,0.182,13,18,0.722,6,41,5,3,10,13,17,21,68,0.309,6,28,0.214,13,18,0.722,10,32,11,5,0,6,18
8,12/6/2023,,UC-Riverside,W,86,49,35,71,0.493,7,26,0.269,9,11,0.818,16,47,20,9,7,6,20,14,51,0.275,4,20,0.2,17,21,0.81,8,24,8,4,3,14,13
9,12/10/2023,,Grambling,W,83,65,31,55,0.564,9,18,0.5,12,19,0.632,10,30,20,9,2,13,17,21,46,0.457,5,12,0.417,18,26,0.692,5,19,4,6,3,15,20
10,12/16/2023,N,Santa Clara,L,61,69,22,66,0.333,7,26,0.269,10,14,0.714,15,42,6,5,5,10,18,23,56,0.411,6,16,0.375,17,20,0.85,4,28,7,5,2,9,16
11,12/21/2023,N,Boise State,W,66,61,24,56,0.429,4,14,0.286,14,18,0.778,4,37,9,6,2,9,14,23,64,0.359,5,20,0.25,10,13,0.769,6,35,8,5,3,7,18
12,12/29/2023,@,Utah,L,58,80,21,67,0.313,4,20,0.2,12,21,0.571,23,49,14,1,3,12,16,29,61,0.475,7,17,0.412,15,21,0.714,5,34,22,6,9,5,18
13,12/31/2023,@,Colorado,L,67,74,28,58,0.483,5,15,0.333,6,8,0.75,6,27,12,5,5,12,21,24,48,0.5,4,9,0.444,22,26,0.846,5,26,12,4,2,12,13
14,1/4/2024,,Oregon State,W,65,58,19,40,0.475,5,14,0.357,22,27,0.815,2,30,13,3,7,11,11,22,61,0.361,4,13,0.308,10,11,0.909,7,27,5,7,4,5,19
15,1/6/2024,,Oregon,L,84,89,28,52,0.538,9,18,0.5,19,27,0.704,6,24,12,3,2,10,13,32,55,0.582,14,24,0.583,11,14,0.786,6,25,18,5,2,8,18
16,1/10/2024,@,USC,W,72,64,24,51,0.471,6,19,0.316,18,23,0.783,3,32,13,4,6,13,18,22,58,0.379,6,21,0.286,14,22,0.636,5,29,12,7,1,8,21
17,1/13/2024,,Arizona,W,73,70,26,56,0.464,4,13,0.308,17,21,0.81,7,35,12,6,8,9,18,25,72,0.347,7,24,0.292,13,21,0.619,19,42,14,7,2,10,18
18,1/18/2024,@,Stanford,W,89,75,38,70,0.543,7,20,0.35,6,11,0.545,8,32,12,8,5,8,16,27,52,0.519,8,14,0.571,13,15,0.867,2,23,14,4,3,17,13
19,1/20/2024,@,California,L (1 OT),75,81,27,59,0.458,8,18,0.444,13,20,0.65,3,33,14,0,6,9,18,28,71,0.394,7,20,0.35,18,22,0.818,11,41,13,5,4,3,16
20,1/24/2024,,Utah,W,79,57,28,59,0.475,7,18,0.389,16,24,0.667,12,39,9,4,5,7,15,25,60,0.417,4,22,0.182,3,7,0.429,9,27,11,3,5,10,20
21,1/27/2024,,Colorado,W,78,69,28,62,0.452,6,20,0.3,16,21,0.762,9,37,8,5,6,6,18,22,57,0.386,7,17,0.412,18,22,0.818,9,33,6,3,1,9,17
22,2/3/2024,@,Washington,W (1 OT),90,87,38,75,0.507,5,16,0.313,9,13,0.692,14,35,13,4,3,5,19,32,56,0.571,6,15,0.4,17,23,0.739,5,27,15,1,2,9,14
23,2/8/2024,@,Oregon State,W,64,58,22,55,0.4,11,23,0.478,9,12,0.75,8,31,14,5,2,11,14,22,49,0.449,3,12,0.25,11,18,0.611,5,26,11,5,5,13,15
24,2/10/2024,@,Oregon,W,62,56,21,49,0.429,5,12,0.417,15,22,0.682,7,32,8,7,4,12,17,22,61,0.361,4,18,0.222,8,14,0.571,10,31,9,8,3,9,18
25,2/15/2024,,California,W,84,65,33,60,0.55,6,15,0.4,12,16,0.75,10,36,14,5,7,11,15,21,55,0.382,7,20,0.35,16,20,0.8,7,27,8,8,2,8,14
26,2/17/2024,,Stanford,W,72,59,25,53,0.472,9,23,0.391,13,16,0.813,12,35,13,8,5,13,15,22,51,0.431,6,18,0.333,9,10,0.9,5,20,11,7,2,12,14
27,2/22/2024,@,Arizona,W,77,74,26,62,0.419,6,18,0.333,19,24,0.792,9,35,13,2,3,8,22,26,58,0.448,5,18,0.278,17,27,0.63,10,36,15,6,4,9,20
28,2/24/2024,@,Arizona State,L,61,73,24,61,0.393,3,18,0.167,10,12,0.833,13,33,13,5,4,11,13,29,59,0.492,6,14,0.429,9,11,0.818,11,35,11,6,3,10,13
29,2/29/2024,,USC,W,75,72,26,52,0.5,10,20,0.5,13,17,0.765,7,27,14,5,3,13,17,27,52,0.519,2,10,0.2,16,24,0.667,7,26,11,11,4,11,17
30,3/2/2024,,UCLA,W,77,65,23,55,0.418,7,19,0.368,24,33,0.727,15,36,8,3,4,7,13,25,53,0.472,6,15,0.4,9,11,0.818,4,22,6,5,2,6,24
31,3/7/2024,,Washington,L,68,74,95.0,103.4,71.6,.239,.338,.430,57.5,46.4,8.4,7.7,,.423,10.2,36.6,.113,,.564,16.0,84.4,.218
32,2024-03-14,N,Stanford,W,79,62,115.1,90.3,68.7,.230,.361,.584,60.0,58.1,10.2,9.1,,.566,12.9,32.1,.164,,.519,15.4,88.9,.111
33,2024-03-15,N,Colorado,L,52,58,82.9,92.5,62.7,.135,.365,.470,57.6,45.5,8.0,8.3,,.462,24.5,38.7,.077,,.461,15.7,78.6,.216
34,2024-03-21,N,Drake,,,,,,,,,,,,,,,,,,,,,,,
